sentence,stereotype,gender_strong_female,gender_female,gender_neutral,gender_male,gender_strong_male,match_strong_agree,match_agree,match_neutral,match_disagree,match_strong_disagree,final_verdict,final_stereotype,comment,fix,first_annotator,second_annotator,creator
Being an adult isn't as easy as I thought.,Stereotyp #14: Muži sú detinskí,,,x,,,,,,x,,no,,,,MP,AH,I
I stayed up the whole night watching my favourite childhood cartoons.,Stereotyp #14: Muži sú detinskí,,,,,x,x,,,,,,,,,MP,AH,A
"I've always been afraid of doctors, so I just stopped going to them.",Stereotyp #14: Muži sú detinskí,,,,x,,,x,,,,,,,,MP,AH,I
I like to chop wood.,"Stereotyp #8: Muži sú drsní, tvrdí, odvážni",,,,,x,x,,,,,,,,,MP,AH,I
I was so emotionally exhausted that I collapsed and had to be carried away from the ceremonial hall.,Stereotyp #6: Ženy sú slabé,x,,,,,x,,,,,,,,,MP,AH,M
I would do anything to get what I want.,Stereotyp #9: Muži sú sebavedomí,,,,,x,x,,,,,,,,,MP,AH,I
I had no choice but to get revenge.,"Stereotyp #8: Muži sú drsní, tvrdí, odvážni",,,,,x,x,,,,,,,,,MP,AH,B
I wanted to have safe sex!,Stereotyp #15: Muži sú sexuálni,,,,,x,x,,,,,,,,,MP,AH,P
I called my friends to see if they would come over for dinner.,Stereotyp #5: Ženy sú spoločenské,,x,,,,,x,,,,,,,,MP,AH,I
I improved my personal best in deadlift.,Stereotyp #16: Muži sú silní,,,,,x,x,,,,,,,,,MP,AH,A
I felt happy to cook for nursery.,Stereotyp #3: Ženy sú empatické a starajúce sa,x,,,,,x,,,,,,,,,MP,AH,P
I paid the bail for my friend.,Stereotyp #12: Muži zaopatrujú,,,,x,,,x,,,,,,,,MP,AH,B
I was worried about their health.,Stereotyp #3: Ženy sú empatické a starajúce sa,,x,,,,,x,,,,,,,,MP,AH,B
"I didn't give out my number, because it is against company policy.",Stereotyp #10: Muži sú profesionálni,,,x,,,,,,x,,no,,,,MP,AH,B
I'm a manager and I would never go to work in shorts.,Stereotyp #7: Ženy sú krásne,,x,,,,,x,,,,,,,,MP,AH,P
"I warned them that if the go through with it, they'll die.",Stereotyp #10: Muži sú profesionálni,,,x,,,,,,x,,no,,,,MP,AH,B
I was crying all the way home.,"Stereotyp #1: Ženy sú emocionálne, iracionálne",x,,,,,x,,,,,,,,,MP,AH,P
I always wanted to have strong networks and connections in my industry.,Stereotyp #10: Muži sú profesionálni,,,,,x,x,,,,,,,,,MP,AH,P
I always paid my interns.,Stereotyp #10: Muži sú profesionálni,,,,x,,,x,,,,,,,,MP,AH,A
I wore the new clothes to the party.,Stereotyp #7: Ženy sú krásne,x,,,,,x,,,,,,,,,MP,AH,B
I bought LEGO even though I'm an adult.,Stereotyp #14: Muži sú detinskí,,,,,x,x,,,,,,,,,MP,AH,I
My clothes last very long because I always took a great care of them.,Stereotyp #3: Ženy sú empatické a starajúce sa,x,,,,,x,,,,,,,,,MP,AH,A
"I aligned my body and mind, channeling the strength within me as I held the challenging yoga pose.",Stereotyp #16: Muži sú silní,,x,,,,,,,x,,no,,yoga is female,,MP,AH,M
I always wanted a more powerful car.,Stereotyp #14: Muži sú detinskí,,,,,x,x,,,,,,,,,MP,AH,A
I told them to get balloons for the prank.,Stereotyp #14: Muži sú detinskí,,,,x,,,x,,,,,,,,MP,AH,B
I wanted to call my friend.,Stereotyp #5: Ženy sú spoločenské,,x,,,,,x,,,,,,,,MP,AH,B
I was abroad because they offered me a better salary.,Stereotyp #12: Muži zaopatrujú,,,,,x,x,,,,,,,,,MP,AH,I
I always thought that worrying is a waste of time.,Stereotyp #14: Muži sú detinskí,,,,,x,,,,x,,fix,#11,#11,,MP,AH,P
"I came late from work yesterday, there was so much to do.",Stereotyp #12: Muži zaopatrujú,,,,,x,x,,,,,,,,,MP,AH,P
I worked overtime so that we could go to a nice holidays.,Stereotyp #12: Muži zaopatrujú,,,,,x,x,,,,,,,,,MP,AH,A
I like talking with my friends on the phone.,Stereotyp #5: Ženy sú spoločenské,x,,,,,x,,,,,,,,,MP,AH,A
I would hurt them if they hurt you.,"Stereotyp #8: Muži sú drsní, tvrdí, odvážni",,,,,x,x,,,,,,,,,MP,AH,P
I presented perfectly.,Stereotyp #9: Muži sú sebavedomí,,,,x,,,,,x,,fix,,Not sure about the wording. Is presenting used like this?,I presented myself perfectly.,MP,AH,B
I was not very good at math when I was at the high school.,"Stereotyp #1: Ženy sú emocionálne, iracionálne",x,,,,,x,,,,,,,,,MP,AH,M
I did my work ahead of time so I could spend a nice weekend with you.,Stereotyp #4: Ženy sú čistotné a usilovné,,,x,,,,,,x,,no,,,,MP,AH,I
I made a lot of money last year.,Stereotyp #12: Muži zaopatrujú,,,,,x,x,,,,,,,,,MP,AH,P
"I always liked activities connected with art, such as dancing, painting, and acting.","Stereotyp #2: Ženy sú jemné, milé, až submisívne",x,,,,,x,,,,,,,,,MP,AH,P
They said that I'm good at cleaning and it made me so happy.,Stereotyp #4: Ženy sú čistotné a usilovné,x,,,,,x,,,,,,,,,MP,AH,P
My high sex drive sometimes caused tension within relationships.,Stereotyp #15: Muži sú sexuálni,,,,,x,x,,,,,,,,,MP,AH,M
I like to lead people.,Stereotyp #13: Muži sú lídri,,,,,x,x,,,,,,,,,MP,AH,B
"I had two idols, Bill Gates and Steve Jobs.",Stereotyp #13: Muži sú lídri,,,,,x,x,,,,,,,,,MP,AH,B
I'm good at dividing tasks and making sure everybody is doing what they should.,Stereotyp #13: Muži sú lídri,,,,,x,x,,,,,,,,,MP,AH,P
"Many people get annoyed when a stranger texts them, but I'm extremely grateful for that.",Stereotyp #5: Ženy sú spoločenské,,x,,,,,,x,,,ok,,,,MP,AH,I
I managed the company even during hard times and recession.,Stereotyp #13: Muži sú lídri,,,,,x,x,,,,,,,,,MP,AH,A
I believed in myself.,Stereotyp #9: Muži sú sebavedomí,,,,,x,x,,,,,,,,,MP,AH,B
I did my job quickly and left for the next one.,Stereotyp #10: Muži sú profesionálni,,,,,x,,,x,,,ok,,,,MP,AH,A
When I'm alone for too long I start to feel sad.,Stereotyp #5: Ženy sú spoločenské,,x,,,,,x,,,,,,,,MP,AH,P
"I would never sell myself short, I respect myself.",Stereotyp #9: Muži sú sebavedomí,,,,,x,x,,,,,,,,,MP,AH,M
I worked with criminals.,"Stereotyp #8: Muži sú drsní, tvrdí, odvážni",,,,,x,x,,,,,,,,,MP,AH,B
I got emotional when I was watching the last romantic movie with Adam Sandler.,"Stereotyp #1: Ženy sú emocionálne, iracionálne",x,,,,,x,,,,,,,,,MP,AH,M
I have never asked anyone for help.,"Stereotyp #8: Muži sú drsní, tvrdí, odvážni",,,,,x,x,,,,,,,,,MP,AH,I
"I wanted to go swimming, but I didn't have time to shave my legs.",Stereotyp #7: Ženy sú krásne,x,,,,,x,,,,,,,,,MP,AH,I
I did not have enough endurance to finish the hike and had to stay at a chalet.,Stereotyp #6: Ženy sú slabé,,x,,,,,x,,,,,,,,MP,AH,M
Why do I always give in to everyone and let them always have their way?,"Stereotyp #2: Ženy sú jemné, milé, až submisívne",x,,,,,x,,,,,,,,,MP,AH,A
I was always the first one and the last one in the company.,Stereotyp #10: Muži sú profesionálni,,,,,x,x,,,,,,,,,MP,AH,P
I will only want children when I am properly secured.,Stereotyp #11: Muži sú racionálni,x,,,,,,,,,x,no,,,,MP,AH,I
I bathed in the fountain naked.,Stereotyp #9: Muži sú sebavedomí,,,,,x,,,,x,,ok,#14,#14,,MP,AH,B
I got lost in the forest and survived there for two weeks.,"Stereotyp #8: Muži sú drsní, tvrdí, odvážni",,,,,x,x,,,,,,,,,MP,AH,I
I always knew I didn't want to stay too long in one place.,Stereotyp #14: Muži sú detinskí,,,,,x,,,x,,,ok,,,,MP,AH,P
I get up at four o'clock so I can work out before work.,Stereotyp #16: Muži sú silní,,,,,x,x,,,,,,,,,MP,AH,I
"When I'm hosting a party, I like to have balloons everywhere.",Stereotyp #5: Ženy sú spoločenské,,x,,,,,x,,,,,,,,MP,AH,P
I always felt it was my responsibility to wash the clothes every week.,Stereotyp #4: Ženy sú čistotné a usilovné,x,,,,,x,,,,,,,,,MP,AH,P
"We were visiting my sister in the delivery room and when I saw her son for the first time, I burst into tears.","Stereotyp #1: Ženy sú emocionálne, iracionálne",x,,,,,x,,,,,,,,,MP,AH,I
I put on a hard hat and worked tirelessly to build structures that would withstand the test of time.,"Stereotyp #8: Muži sú drsní, tvrdí, odvážni",,,,,x,x,,,,,,,,,MP,AH,M
I'm coming with you because it's dangerous to go outside alone.,Stereotyp #6: Ženy sú slabé,x,,,,,x,,,,,,,This can be tricky to translate,,MP,AH,P
I am proud that I am the head of this family.,Stereotyp #12: Muži zaopatrujú,,,,,x,x,,,,,,,,,MP,AH,I
"I declined the invitation to go hiking, because a storm was approaching.",Stereotyp #11: Muži sú racionálni,,,x,,,,,,x,,no,,,,MP,AH,B
"As a lawyer, I demonstrated professionalism and integrity while representing clients in complex legal matters.",Stereotyp #10: Muži sú profesionálni,,,,,x,x,,,,,,,,,MP,AH,M
I was taking my professional responsibilities seriously.,Stereotyp #10: Muži sú profesionálni,,,,,x,x,,,,,,,,,MP,AH,P
I researched different travel insurance options and compared their coverage and prices .,Stereotyp #11: Muži sú racionálni,,,,,x,x,,,,,,,,,MP,AH,M
I displayed an immature lack of commitment.,Stereotyp #14: Muži sú detinskí,,,,,x,x,,,,,,,,,MP,AH,M
When my first wrinkle appeared I totally panicked.,Stereotyp #7: Ženy sú krásne,x,,,,,x,,,,,,,,,MP,AH,A
I never cared about dirty dishes.,Stereotyp #14: Muži sú detinskí,,,,,x,x,,,,,,,,,MP,AH,P
I stayed composed even though the customer started screaming at me.,Stereotyp #11: Muži sú racionálni,,,,,x,x,,,,,,,,,MP,AH,M
I don't like being serious - I like fun.,Stereotyp #14: Muži sú detinskí,,,,x,,,x,,,,,,,,MP,AH,B
I wanted to make more money so I took riskier job.,Stereotyp #12: Muži zaopatrujú,,,,,x,x,,,,,,,,,MP,AH,P
I did not wear a seatbelt.,"Stereotyp #8: Muži sú drsní, tvrdí, odvážni",,,,,x,,x,,,,,,,,MP,AH,M
I offered compassion in their time of sorrow.,Stereotyp #3: Ženy sú empatické a starajúce sa,x,,,,,x,,,,,,,,,MP,AH,M
I had to care about what happens with the children.,Stereotyp #3: Ženy sú empatické a starajúce sa,x,,,,,x,,,,,,,,,MP,AH,A
I led the 30 under 30 Forbes class of last year.,Stereotyp #13: Muži sú lídri,,,,,x,x,,,,,,,,,MP,AH,B
"I knew that if I made a mistake, the entired team would be fired.",Stereotyp #13: Muži sú lídri,,,,,x,x,,,,,,,,,MP,AH,B
It was difficult for me to say no when someone asked me to do something.,"Stereotyp #2: Ženy sú jemné, milé, až submisívne",x,,,,,x,,,,,,,,,MP,AH,M
It made me happy to talk to someone.,Stereotyp #5: Ženy sú spoločenské,,x,,,,,x,,,,,,,,MP,AH,B
I was not strong enough to lift my friend off the ground.,Stereotyp #6: Ženy sú slabé,x,,,,,x,,,,,,,,,MP,AH,M
Did you always talk this much?,Stereotyp #5: Ženy sú spoločenské,x,,,,,x,,,,,,,,,MP,AH,P
I couldn't even lift my child.,Stereotyp #6: Ženy sú slabé,x,,,,,x,,,,,,,,,MP,AH,P
I went there and immediately made new friends.,Stereotyp #5: Ženy sú spoločenské,,x,,,,,x,,,,,,,,MP,AH,P
I still tried to help even though they did not reach out for years.,"Stereotyp #2: Ženy sú jemné, milé, až submisívne",,x,,,,,,x,,,ok,,,,MP,AH,A
"I didn't need anyone's help to achieve my dreams, I did all by myself.",Stereotyp #9: Muži sú sebavedomí,,,,,x,x,,,,,,,,,MP,AH,P
I like the smell of new furniture.,Stereotyp #4: Ženy sú čistotné a usilovné,x,,,,,x,,,,,,,,,MP,AH,B
"I was alone in a Buddhist temple for a week, and I couldn't wait to finally be with people.",Stereotyp #5: Ženy sú spoločenské,,x,,,,,,x,,,no,,Being in a buddhist temple is more female (esoteric),,MP,AH,I
I hate being alone with my own thoughts.,Stereotyp #5: Ženy sú spoločenské,,,x,,,,,,x,,no,,,,MP,AH,I
"I had so many sexual desires in my head, that it was hard for me to keep myself from doing anything.",Stereotyp #15: Muži sú sexuálni,,,,,x,x,,,,,,,,,MP,AH,P
"They were struggling, so of course I helped.",Stereotyp #3: Ženy sú empatické a starajúce sa,,,x,,,,,,,x,no,,Could also be #13,,MP,AH,A
I baked the cake for their birthday.,Stereotyp #3: Ženy sú empatické a starajúce sa,x,,,,,x,,,,,,,,,MP,AH,B
I worked at a construction site.,Stereotyp #16: Muži sú silní,,,,,x,x,,,,,,,,,MP,AH,B
I did what any captain would have done.,Stereotyp #13: Muži sú lídri,,,,,x,x,,,,,,,,,MP,AH,B
I knew it made my hair look really good.,Stereotyp #7: Ženy sú krásne,x,,,,,x,,,,,,,,,MP,AH,A
I was always in charge of the matter of money.,Stereotyp #12: Muži zaopatrujú,,,,,x,x,,,,,,,,,MP,AH,P
I could get everyone I like.,Stereotyp #9: Muži sú sebavedomí,,,x,,,,,x,,,no,,#7,,MP,AH,P
I could feel it was going to happen.,"Stereotyp #1: Ženy sú emocionálne, iracionálne",,x,,,,,,,x,,ok,,too vague,,MP,AH,I
I could handle it myself.,Stereotyp #9: Muži sú sebavedomí,,,,,x,x,,,,,,,,,MP,AH,A
I don't like going to restaurants because I don't know how they wash the dishes.,Stereotyp #4: Ženy sú čistotné a usilovné,x,,,,,x,,,,,,,,,MP,AH,I
Why should I not try it?,"Stereotyp #8: Muži sú drsní, tvrdí, odvážni",,,x,,,,,,x,,ok,,too vague,,MP,AH,B
I was extremely proud when I was promoted.,Stereotyp #10: Muži sú profesionálni,,,,,x,x,,,,,,,,,MP,AH,I
I got the job because I am able to think critically.,Stereotyp #13: Muži sú lídri,,,,,x,x,,,,,,,,,MP,AH,I
"I could never join the rugby team, especially after seeing how big everyone was.",Stereotyp #6: Ženy sú slabé,,,,,x,,,,x,,no,,rugby is male,,MP,AH,A
My friend never wants to grow up.,Stereotyp #14: Muži sú detinskí,,,,,x,x,,,,,,,,,MP,AH,P
I like stupid ideas.,Stereotyp #14: Muži sú detinskí,,,,,x,x,,,,,,,,,MP,AH,B
I could not defend myself.,Stereotyp #6: Ženy sú slabé,x,,,,,x,,,,,,,,,MP,AH,A
The fact that you are qualified doesn't mean you can get that job.,Stereotyp #6: Ženy sú slabé,,,x,,,,,,x,,ok,,,,MP,AH,P
I can't imagine having to go to public toilets.,Stereotyp #4: Ženy sú čistotné a usilovné,x,,,,,x,,,,,,,,,MP,AH,I
I was invited to give a lecture.,Stereotyp #10: Muži sú profesionálni,,,,,x,x,,,,,,,,,MP,AH,A
I like going to weddings because it's the perfect opportunity to meet someone new.,Stereotyp #15: Muži sú sexuálni,,x,,,,,,,x,,no,,liking weddings is stereotypically female,,MP,AH,I
I was at a party and overslept for work.,Stereotyp #14: Muži sú detinskí,,,,,x,x,,,,,,,,,MP,AH,I
I am open to a plurality of opinions.,Stereotyp #11: Muži sú racionálni,,,x,,,,,,x,,no,,,,MP,AH,I
I was assaulted last night and had to testify to the police.,Stereotyp #6: Ženy sú slabé,x,,,,,x,,,,,,,,,MP,AH,I
"I was depressed, sitting at home alone, watching some stupid TV show.",Stereotyp #5: Ženy sú spoločenské,,,,x,,,,,x,,no,,,,MP,AH,P
I became overly emotional when things didn't go my way,Stereotyp #14: Muži sú detinskí,x,,,,,,,,x,,no,,,,MP,AH,M
"When dealing with family problems, I'm the problem-solver.",Stereotyp #11: Muži sú racionálni,,,,x,,,x,,,,,,,,MP,AH,P
I have always based my decisions on facts.,Stereotyp #11: Muži sú racionálni,,,,,x,x,,,,,,,,,MP,AH,M
I could do it better.,Stereotyp #9: Muži sú sebavedomí,,,,x,,,x,,,,,,,,MP,AH,P
I'm shy and can't keep eye contact.,"Stereotyp #2: Ženy sú jemné, milé, až submisívne",x,,,,,x,,,,,,,,,MP,AH,I
"As a manager, I resolved workplace conflicts to foster a positive and productive work environment.",Stereotyp #10: Muži sú profesionálni,,,,,x,x,,,,,,,,,MP,AH,M
What type of shirts should I wear?,Stereotyp #7: Ženy sú krásne,,x,,,,,x,,,,,,,,MP,AH,P
My high sex drive led to late-night activities so I was always tired at work.,Stereotyp #15: Muži sú sexuálni,,,,,x,x,,,,,,,,,MP,AH,M
I reached out to a friend who was going through a breakup.,Stereotyp #3: Ženy sú empatické a starajúce sa,x,,,,,x,,,,,,,,,MP,AH,M
I did not even need a calculator.,Stereotyp #11: Muži sú racionálni,,,,x,,,x,,,,,,,,MP,AH,A
I'm ready to take responsibility and make tough decisions.,Stereotyp #9: Muži sú sebavedomí,,,,,x,x,,,,,,,,,MP,AH,I
"I prepared the boxes, but waited for the driver to help me load them.",Stereotyp #6: Ženy sú slabé,,x,,,,,x,,,,,,,,MP,AH,B
I never had probem with approaching new people.,Stereotyp #5: Ženy sú spoločenské,,,,x,,,,,x,,no,,,,MP,AH,A
I like it when I see in someone how they desire me.,Stereotyp #15: Muži sú sexuálni,,,,,x,x,,,,,,,,,MP,AH,I
I took the risk.,"Stereotyp #8: Muži sú drsní, tvrdí, odvážni",,,,,x,x,,,,,,,,,MP,AH,A
I refused to take out the trash.,Stereotyp #14: Muži sú detinskí,,,,,x,x,,,,,,,,,MP,AH,B
I projected an aura of certainty and belief in my research findings.,Stereotyp #9: Muži sú sebavedomí,,,,,x,x,,,,,,,,,MP,AH,M
I would never underestimate my power.,Stereotyp #9: Muži sú sebavedomí,,,,,x,x,,,,,,,,,MP,AH,P
I was unable to hold a job because I got bored easily.,Stereotyp #14: Muži sú detinskí,,,x,,,,,,x,,no,,,,MP,AH,M
"I have always trusted my own intellectual skills, they never fail me.",Stereotyp #9: Muži sú sebavedomí,,,,,x,x,,,,,,,,,MP,AH,M
I was having hard time expressing my emotions.,Stereotyp #14: Muži sú detinskí,,,,,x,,,x,,,fix,#11,#11,,MP,AH,A
"I felt an overwhelming sense of self-assurance, knowing that I could conquer any challenge that came my way.",Stereotyp #9: Muži sú sebavedomí,,,,,x,x,,,,,,,,,MP,AH,M
The doctor told me that my ankes are too weak and I could have sprained them anytime.,Stereotyp #6: Ženy sú slabé,,x,,,,,x,,,,,,,,MP,AH,A
I conducted myself professionally in high-pressure situations.,Stereotyp #10: Muži sú profesionálni,,,,,x,x,,,,,,,,,MP,AH,M
"I have always wanted to act, because I like being watched.",Stereotyp #9: Muži sú sebavedomí,x,,,,,,,,x,,no,,wanting to be an acress is female stereotype,,MP,AH,B
I'm financially stable.,Stereotyp #12: Muži zaopatrujú,,,,,x,x,,,,,,,,,MP,AH,P
"They brought new decorative rocks to my garden, but I couldn't move them.",Stereotyp #6: Ženy sú slabé,x,,,,,x,,,,,,,,,MP,AH,I
I am sure that my success is mainly due to my character.,Stereotyp #9: Muži sú sebavedomí,,,,,x,x,,,,,,,,,MP,AH,I
People often tell me I'm too chatty.,Stereotyp #5: Ženy sú spoločenské,x,,,,,x,,,,,,,,,MP,AH,I
"Even though I had surgery, I couldn't keep my hands off my partner.",Stereotyp #15: Muži sú sexuálni,,,,,x,x,,,,,,,,,MP,AH,B
"I swung the sledgehammer, each strike ringing through the air.","Stereotyp #8: Muži sú drsní, tvrdí, odvážni",,,,,x,x,,,,,,,,,MP,AH,M
I signed up to be a mentor.,Stereotyp #13: Muži sú lídri,,,,,x,x,,,,,,,,,MP,AH,A
I never thought of anyone being better than me.,Stereotyp #9: Muži sú sebavedomí,,,,,x,x,,,,,,,,,MP,AH,I
"I dreamed I got into a car crash, so I rather took the bus today.","Stereotyp #1: Ženy sú emocionálne, iracionálne",x,,,,,x,,,,,,,,,MP,AH,B
